Ê±¼ä,Ö¸Áî,·´À¡
0.000233,750,0.994905192
0.000234,750,1.003350105
0.000235,750,1.011836194
0.000236,750,1.020363446
0.000237,750,1.028931847
0.000238,750,1.037541385
0.000239,750,1.046192044
0.00024,750,1.054883812
0.000241,750,1.063616674
0.000242,750,1.072390618
0.000243,750,1.081205628
0.000244,750,1.090061692
0.000245,750,1.098958796
0.000246,750,1.107896925
0.000247,750,1.116876067
0.000248,750,1.125896208
0.000249,750,1.134957334
0.00025,750,1.144059431
0.000251,750,1.153202486
0.000252,750,1.162386485
0.000253,750,1.171611414
0.000254,750,1.18087726
0.000255,750,1.190184009
0.000256,750,1.199531647
0.000257,750,1.208920161
0.000258,750,1.218349537
0.000259,750,1.227819762
0.00026,750,1.237330821
0.000261,750,1.246882702
0.000262,750,1.25647539
0.000263,750,1.266108872
0.000264,750,1.275783134
0.000265,750,1.285498164
0.000266,750,1.295253946
0.000267,750,1.305050468
0.000268,750,1.314887716
0.000269,750,1.324765676
0.00027,750,1.334684335
0.000271,750,1.344643679
0.000272,750,1.354643694
0.000273,750,1.364684368
0.000274,750,1.374765686
0.000275,750,1.384887635
0.000276,750,1.395050201
0.000277,750,1.405253372
0.000278,750,1.415497132
0.000279,750,1.425781469
0.00028,750,1.436106369
0.000281,750,1.446471819
0.000282,750,1.456877804
0.000283,750,1.467324313
0.000284,750,1.47781133
0.000285,750,1.488338843
0.000286,750,1.498906837
0.000287,750,1.5095153
0.000288,750,1.520164218
0.000289,750,1.530853578
0.00029,750,1.541583365
0.000291,750,1.552353567
0.000292,750,1.56316417
0.000293,750,1.57401516
0.000294,750,1.584906524
0.000295,750,1.595838249
0.000296,750,1.606788323
0.000297,750,1.617734746
0.000298,750,1.628677518
0.000299,750,1.639616642
0.0003,750,1.650552117
0.000301,750,1.661483945
0.000302,750,1.672412128
0.000303,750,1.683336666
0.000304,750,1.694257561
0.000305,750,1.705174813
0.000306,750,1.716088425
0.000307,750,1.726998397
0.000308,750,1.737904731
0.000309,750,1.748829425
0.00031,750,1.759794467
0.000311,750,1.770799845
0.000312,750,1.781845545
0.000313,750,1.792931554
0.000314,750,1.804057858
0.000315,750,1.815224443
0.000316,750,1.826431297
0.000317,750,1.837678405
0.000318,750,1.848965755
0.000319,750,1.860293332
0.00032,750,1.871661124
0.000321,750,1.883069117
0.000322,750,1.894517297
0.000323,750,1.906005652
0.000324,750,1.917534168
0.000325,750,1.92910283
0.000326,750,1.940711627
0.000327,750,1.952360545
0.000328,750,1.964049569
0.000329,750,1.975778687
0.00033,750,1.987547886
0.000331,750,1.999357152
0.000332,750,2.011206471
0.000333,750,2.023095831
0.000334,750,2.035025217
0.000335,750,2.046994617
0.000336,750,2.059004017
0.000337,750,2.071053404
0.000338,750,2.083142764
0.000339,750,2.095272085
0.00034,750,2.107441352
0.000341,750,2.119650553
0.000342,750,2.131899673
0.000343,750,2.144188701
0.000344,750,2.156517622
0.000345,750,2.168886423
0.000346,750,2.181295091
0.000347,750,2.193743612
0.000348,750,2.206231973
0.000349,750,2.218760162
0.00035,750,2.231328163
0.000351,750,2.243935966
0.000352,750,2.256583555
0.000353,750,2.269270917
0.000354,750,2.281998041
0.000355,750,2.294764911
0.000356,750,2.307571515
0.000357,750,2.32041784
0.000358,750,2.333303872
0.000359,750,2.346229598
0.00036,750,2.359195005
0.000361,750,2.37220008
0.000362,750,2.385244809
0.000363,750,2.398329178
0.000364,750,2.411453176
0.000365,750,2.424616788
0.000366,750,2.437820002
0.000367,750,2.451062804
0.000368,750,2.46434518
0.000369,750,2.477667119
0.00037,750,2.491028606
0.000371,750,2.504429628
0.000372,750,2.517870172
0.000373,750,2.531350225
0.000374,750,2.544869773
0.000375,750,2.558428804
0.000376,750,2.572027305
0.000377,750,2.585665261
0.000378,750,2.599342661
0.000379,750,2.61305949
0.00038,750,2.626815736
0.000381,750,2.640611385
0.000382,750,2.654446424
0.000383,750,2.668320841
0.000384,750,2.682234621
0.000385,750,2.696187752
0.000386,750,2.710180221
0.000387,750,2.724212014
0.000388,750,2.738283119
0.000389,750,2.752393522
0.00039,750,2.76654321
0.000391,750,2.78073217
0.000392,750,2.794960388
0.000393,750,2.809227853
0.000394,750,2.82353455
0.000395,750,2.837880467
0.000396,750,2.852243592
0.000397,750,2.866601926
0.000398,750,2.88095547
