time,id_command,id_feedback,iq_command,iq_feedback
0,0,0,40,0
1.00E-06,0,0,40,0
2.00E-06,0,0,40,0
3.00E-06,0,0,40,0
4.00E-06,0,0,40,0
5.00E-06,0,0,40,0
6.00E-06,0,0,40,0
7.00E-06,0,0,40,0
8.00E-06,0,0,40,0
9.00E-06,0,6.74E-14,40,0.043914254
1.00E-05,0,1.08E-12,40,0.087813885
1.10E-05,0,5.46E-12,40,0.131698897
1.20E-05,0,1.73E-11,40,0.175569294
1.30E-05,0,4.21E-11,40,0.219425082
1.40E-05,0,8.73E-11,40,0.263266265
1.50E-05,0,1.62E-10,40,0.307092848
1.60E-05,0,2.76E-10,40,0.350904836
1.70E-05,0,4.42E-10,40,0.394702234
1.80E-05,0,6.73E-10,40,0.438485045
1.90E-05,0,9.85E-10,40,0.482253276
2.00E-05,0,1.39E-09,40,0.52600693
2.10E-05,0,1.92E-09,40,0.569746013
2.20E-05,0,2.58E-09,40,0.613470529
2.30E-05,0,3.40E-09,40,0.657180483
2.40E-05,0,4.40E-09,40,0.700875879
2.50E-05,0,5.61E-09,40,0.744556723
2.60E-05,0,7.05E-09,40,0.788223019
2.70E-05,0,8.75E-09,40,0.831874772
2.80E-05,0,1.07E-08,40,0.875511986
2.90E-05,0,1.31E-08,40,0.919134666
3.00E-05,0,1.57E-08,40,0.962742818
3.10E-05,0,1.88E-08,40,1.006336445
3.20E-05,0,2.22E-08,40,1.049915552
3.30E-05,0,2.62E-08,40,1.093480145
3.40E-05,0,3.06E-08,40,1.137030228
3.50E-05,0,3.56E-08,40,1.180565804
3.60E-05,0,4.12E-08,40,1.224086881
3.70E-05,0,4.74E-08,40,1.267593461
3.80E-05,0,5.42E-08,40,1.31108555
3.90E-05,0,6.18E-08,40,1.354563152
4.00E-05,0,7.02E-08,40,1.398026272
4.10E-05,0,7.93E-08,40,1.441474915
4.20E-05,0,8.94E-08,40,1.484909086
4.30E-05,0,1.00E-07,40,1.528328788
4.40E-05,0,1.12E-07,40,1.571734028
4.50E-05,0,1.25E-07,40,1.615124809
4.60E-05,0,1.39E-07,40,1.658501136
4.70E-05,0,1.55E-07,40,1.701863015
4.80E-05,0,1.71E-07,40,1.745210449
4.90E-05,0,1.89E-07,40,1.788543443
5.00E-05,0,2.08E-07,40,1.831862003
5.10E-05,0,2.28E-07,40,1.875166132
5.20E-05,0,2.50E-07,40,1.918455835
5.30E-05,0,2.74E-07,40,1.961731118
5.40E-05,0,2.99E-07,40,2.004991984
5.50E-05,0,3.25E-07,40,2.048238439
5.60E-05,0,3.54E-07,40,2.091470487
5.70E-05,0,3.84E-07,40,2.134688132
5.80E-05,0,4.16E-07,40,2.177891381
5.90E-05,0,4.51E-07,40,2.221080236
6.00E-05,0,4.87E-07,40,2.264254703
6.10E-05,0,5.25E-07,40,2.307414787
6.20E-05,0,5.66E-07,40,2.350560492
6.30E-05,0,6.09E-07,40,2.393691822
6.40E-05,0,6.54E-07,40,2.436808784
6.50E-05,0,7.02E-07,40,2.47991138
6.60E-05,0,7.52E-07,40,2.522999616
6.70E-05,0,8.05E-07,40,2.566073497
6.80E-05,0,8.61E-07,40,2.609133027
6.90E-05,0,9.20E-07,40,2.652178211
7.00E-05,0,9.81E-07,40,2.695209053
7.10E-05,0,1.05E-06,40,2.738225558
7.20E-05,0,1.11E-06,40,2.781227731
7.30E-05,0,1.18E-06,40,2.824215577
7.40E-05,0,1.26E-06,40,2.8671891
7.50E-05,0,1.34E-06,40,2.910148304
7.60E-05,0,1.42E-06,40,2.953093195
7.70E-05,0,1.50E-06,40,2.996023777
7.80E-05,0,1.59E-06,40,3.038940055
7.90E-05,0,1.68E-06,40,3.081842033
8.00E-05,0,1.78E-06,40,3.124729716
8.10E-05,0,1.88E-06,40,3.167603108
8.20E-05,0,1.99E-06,40,3.210462215
8.30E-05,0,2.09E-06,40,3.253307041
8.40E-05,0,2.21E-06,40,3.29613759
8.50E-05,0,2.33E-06,40,3.338953868
8.60E-05,0,2.45E-06,40,3.381755878
8.70E-05,0,2.58E-06,40,3.424543626
8.80E-05,0,2.71E-06,40,3.467317115
8.90E-05,0,2.85E-06,40,3.510076352
9.00E-05,0,2.99E-06,40,3.55282134
9.10E-05,0,3.14E-06,40,3.595552084
9.20E-05,0,3.29E-06,40,3.638268588
9.30E-05,0,3.45E-06,40,3.680970858
9.40E-05,0,3.61E-06,40,3.723658897
9.50E-05,0,3.78E-06,40,3.766332711
9.60E-05,0,3.91E-06,40,3.76507805
9.70E-05,0,4.05E-06,40,3.763823796
9.80E-05,0,4.18E-06,40,3.762569949
9.90E-05,0,4.32E-06,40,3.76131651
0.0001,0,4.46E-06,40,3.760063477
0.000101,0,4.61E-06,40,3.758810852
0.000102,0,4.75E-06,40,3.757558633
0.000103,0,4.90E-06,40,3.756306821
0.000104,0,5.06E-06,40,3.755055415
0.000105,0,5.21E-06,40,3.753804415
0.000106,0,5.37E-06,40,3.752553822
0.000107,0,5.53E-06,40,3.751303635
0.000108,0,5.70E-06,40,3.750053854
0.000109,0,5.94E-06,40,3.792718733
0.00011,0,6.18E-06,40,3.835369394
0.000111,0,6.43E-06,40,3.878005842
0.000112,0,6.69E-06,40,3.92062808
0.000113,0,6.95E-06,40,3.963236115
0.000114,0,7.22E-06,40,4.00582995
0.000115,0,7.50E-06,40,4.04840959
0.000116,0,7.79E-06,40,4.09097504
0.000117,0,8.08E-06,40,4.133526304
0.000118,0,8.39E-06,40,4.176063387
0.000119,0,8.70E-06,40,4.218586293
0.00012,0,9.02E-06,40,4.261095028
0.000121,0,9.35E-06,40,4.303589595
0.000122,0,9.68E-06,40,4.346069999
0.000123,0,1.00E-05,40,4.388536245
0.000124,0,1.04E-05,40,4.430988338
0.000125,0,1.07E-05,40,4.473426282
0.000126,0,1.11E-05,40,4.515850082
0.000127,0,1.15E-05,40,4.558259741
0.000128,0,1.19E-05,40,4.600655266
0.000129,0,1.23E-05,40,4.64303666
0.00013,0,1.27E-05,40,4.685403928
0.000131,0,1.31E-05,40,4.727757075
0.000132,0,1.36E-05,40,4.770096105
0.000133,0,1.40E-05,40,4.812421022
0.000134,0,1.45E-05,40,4.854731832
0.000135,0,1.49E-05,40,4.897028539
0.000136,0,1.54E-05,40,4.939311148
0.000137,0,1.59E-05,40,4.981579663
0.000138,0,1.64E-05,40,5.023834088
0.000139,0,1.69E-05,40,5.066074429
0.00014,0,1.74E-05,40,5.108300689
0.000141,0,1.79E-05,40,5.150512874
0.000142,0,1.85E-05,40,5.192710988
0.000143,0,1.90E-05,40,5.234895035
0.000144,0,1.96E-05,40,5.277065021
0.000145,0,2.02E-05,40,5.319220949
0.000146,0,2.08E-05,40,5.361362824
0.000147,0,2.14E-05,40,5.403490651
0.000148,0,2.20E-05,40,5.445604435
0.000149,0,2.26E-05,40,5.487704179
0.00015,0,2.33E-05,40,5.529789889
0.000151,0,2.39E-05,40,5.571861569
0.000152,0,2.46E-05,40,5.613919224
0.000153,0,2.53E-05,40,5.655962858
0.000154,0,2.60E-05,40,5.697992475
